PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Gary Payton,BOS,77,33,11.3,4.4,9.4,46.8,0.5,1.7,32.6,2,2.6,76.1,0.6,2.4,3.1,6.1,1.1,0.2,1.9,14.2
Tyronn Lue,ATL,70,28.7,11.2,4.2,9.3,45.1,0.8,2.2,35.5,2,2.4,86.1,0.2,1.9,2.1,4.6,0.5,0,1.5,11.5
Antonio Daniels,SEA,75,27,11.2,3.6,8.3,43.8,0.7,2.2,29.7,3.3,4.1,81.6,0.3,2,2.3,4.1,0.7,0,1,11.9
Gerald Wallace,CHA,70,30.7,11.1,4.1,9.1,44.9,0.2,0.9,27.4,2.7,4.1,66.1,1.7,3.8,5.5,2,1.7,1.3,2.3,12.9
Raef LaFrentz,BOS,80,27.5,11.1,4.3,8.6,49.6,1,2.8,36.4,1.5,1.9,81.1,1.9,5,6.9,1.2,0.5,1.2,0.9,15.4
Joe Smith,MIL,74,30.6,11,4.3,8.4,51.4,0,0,0,2.4,3.1,76.8,2.4,4.9,7.3,0.9,0.6,0.5,1.1,14.4
Udonis Haslem,MIA,80,33.4,10.9,4.3,8,54,0,0.1,0,2.2,2.8,79.1,3,6.1,9.1,1.4,0.8,0.5,1.4,16.9
P.J. Brown,NOH,82,34.4,10.8,4.1,9.2,44.6,0,0,0,2.6,3,86.4,3.2,5.7,9,2.2,0.9,0.6,1.2,16.7
Fred Jones,IND,77,29.5,10.6,3.6,8.4,42.5,1.1,3,38,2.3,2.7,85,0.4,2.7,3.1,2.5,0.8,0.4,1.5,10.7
Corliss Williamson,SAC,72,21.2,10.3,3.8,8.1,46.7,0,0,0,2.7,3.4,79.9,1.4,2.2,3.6,1.1,0.5,0.2,1.2,9.5
JR Smith,NOH,76,24.4,10.3,3.9,9.8,39.4,1.1,3.7,28.8,1.5,2.1,68.9,0.5,1.5,2,1.9,0.7,0.1,1.4,7
Mo Williams,MIL,80,28.2,10.2,4,9.2,43.8,0.4,1.2,32.3,1.7,2,85,0.6,2.4,3.1,6.1,0.9,0.1,2.5,12.4
Jason Williams,MEM,71,27.5,10.1,3.7,9.1,41.3,1.5,4.6,32.4,1.1,1.4,79.2,0.3,1.5,1.7,5.6,1.1,0.1,1.8,11.1
Josh Childress,ATL,80,29.7,10.1,3.8,8,47,0.2,0.7,23.2,2.4,2.9,82.3,2.4,3.6,6,1.9,0.9,0.4,1.3,13.3
Luke Ridnour,SEA,82,31.4,10,3.6,9,40.5,0.8,2.2,37.6,1.9,2.2,88.3,0.7,1.8,2.5,5.9,1.1,0.3,1.8,12.4
Nenad Krstic,NJN,75,26.2,10,3.7,7.6,49.3,0,0,0,2.5,3.4,72.5,2.1,3.2,5.3,1,0.4,0.8,1.5,11.3
Shane Battier,MEM,80,31.5,9.9,3.4,7.7,44.2,0.9,2.2,39.5,2.3,2.9,78.9,2,3.2,5.2,1.6,1.1,1,0.9,12.9
Chris Mihm,LAL,75,24.9,9.8,3.7,7.4,50.7,0,0,0,2.3,3.4,67.8,2.6,4.1,6.7,0.7,0.2,1.4,1.5,12.6
Ben Wallace,DET,74,36.1,9.7,4,8.8,45.3,0,0.1,11.1,1.8,4.1,42.8,3.9,8.2,12.2,1.7,1.4,2.4,1.1,19.1
Josh Smith,ATL,74,27.7,9.7,3.7,8.1,45.5,0.1,0.3,17.4,2.2,3.2,68.8,2,4.2,6.2,1.7,0.8,1.9,1.8,13
Keith Bogans,CHA,74,24.2,9.6,3.5,9.3,38.1,0.8,2.3,32.9,1.8,2.5,72.7,1,2,3.1,1.8,0.9,0.1,1.6,7.5
