PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Voshon Lenard,DEN,71,23.3,11.5,4.4,10.8,41,1.3,3.4,37.1,1.3,1.7,78.3,0.5,2,2.6,1.8,0.8,0.4,1.3,9
Keon Clark,TOR,81,27,11.3,4.7,9.6,49,0,0.1,0,1.9,2.8,67.4,2.2,5.2,7.4,1.1,0.7,1.5,1.7,14.5
Derek Fisher,LAL,70,28.2,11.2,3.9,9.5,41.1,2.1,5,41.3,1.3,1.6,84.7,0.2,1.9,2.1,2.6,0.9,0.1,0.9,10.2
Danny Fortson,GSW,77,28.8,11.2,4,9.4,42.8,0,0.1,25,3.2,4,79.5,3.8,7.9,11.7,1.6,0.6,0.2,2.1,17.1
Ruben Patterson,POR,75,23.5,11.2,4.3,8.3,51.5,0.1,0.5,25,2.6,3.7,70.1,2.1,1.9,4,1.4,1.1,0.5,1.5,11.5
Vlade Divac,SAC,80,30.3,11.1,4.2,9,47.2,0,0.2,23.1,2.6,4.3,61.5,2.6,5.8,8.4,3.7,1,1.2,2,17
Michael Olowokandi,LAC,80,32.1,11.1,4.8,11.1,43.3,0,0,0,1.5,2.4,62.2,2.1,6.8,8.9,1.1,0.7,1.8,2.2,14.2
Bobby Jackson,SAC,81,21.6,11.1,4.1,9.3,44.3,1,2.7,36.1,1.8,2.3,81,1,2.1,3.1,2,0.9,0.1,1.1,10.5
Pat Garrity,ORL,80,30,11.1,4.1,9.6,42.6,2.1,5,42.7,0.8,0.9,83.6,1,3.3,4.2,1.2,0.8,0.4,0.9,11.1
Derek Anderson,POR,70,26.5,10.8,3.5,8.7,40.4,1.2,3.3,37.3,2.5,3,85.6,0.7,2,2.7,3.1,1,0.1,1.2,10.8
Lee Nailon,CHH,79,24.2,10.8,4.7,9.7,48.3,0,0,50,1.4,1.9,74.7,1.3,2.4,3.7,1.2,0.7,0.2,1.2,9.9
Andrei Kirilenko,UTA,82,26.3,10.7,3.5,7.7,45,0.3,1.2,25,3.5,4.5,76.8,1.8,3.1,4.9,1.1,1.4,1.9,1.3,13.5
James Posey,DEN,73,30.7,10.7,3.8,10.1,37.6,0.9,3.2,28.3,2.2,2.8,79.3,1.5,4.4,5.9,2.5,1.6,0.5,1.7,12.5
Joe Smith,MIN,72,26.7,10.7,4.1,8.1,51.1,0,0,66.7,2.4,2.9,83,2.1,4.2,6.3,1.1,0.5,0.8,1.2,13.8
Rod Strickland,MIA,76,30.1,10.4,4.2,9.4,44.3,0.1,0.3,30.8,2,2.6,76.6,0.6,2.4,3.1,6.1,1.1,0.1,2.1,12.9
Chris Whitney,WAS,82,26.5,10.2,3.3,8,41.8,1.6,3.9,40.6,1.9,2.1,88,0.1,1.7,1.9,3.8,0.9,0.1,1,10.8
Hedo Turkoglu,SAC,80,24.6,10.1,3.6,8.6,42.2,0.8,2.1,36.8,2.1,2.9,72.6,0.8,3.8,4.5,2,0.7,0.4,1,11
Bob Sura,GSW,78,22.9,10,3.2,7.6,42.4,0.5,1.7,31.6,3,4.2,72,1.1,2.1,3.3,3.5,1.1,0.2,1.7,10.9
Nazr Mohammed,ATL,82,26.4,9.7,4,8.7,46.1,0,0,0,1.7,2.7,61.7,3,5,7.9,0.4,0.8,0.7,1.4,12.4
Kenny Anderson,BOS,76,31.9,9.6,4.1,9.4,43.6,0.1,0.4,27.3,1.3,1.7,74.2,0.8,2.9,3.6,5.3,1.9,0.1,1.6,13.2
Anthony Mason,MIL,82,38.3,9.6,3.9,7.6,50.5,0,0,100,1.9,2.7,69.7,1.5,6.4,7.9,4.2,0.7,0.3,1.6,16.5
Dale Davis,POR,78,31.4,9.5,3.8,7.4,51,0,0,0,1.9,2.7,70.8,3.4,5.5,8.8,1.2,0.8,1.1,0.8,16.2
Darius Miles,LAC,82,27.1,9.5,3.8,7.8,48.1,0,0.2,15.8,1.9,3.1,62,1.3,4.2,5.5,2.2,0.9,1.3,2,12.2
Malik Rose,SAS,82,21.1,9.4,3.6,7.7,46.3,0,0.1,8.3,2.3,3.1,72,2.1,3.9,6,0.7,0.9,0.5,1.7,10.8
Richard Jefferson,NJN,79,24.3,9.4,3.4,7.5,45.7,0.2,0.7,23.2,2.4,3.4,71.3,1.1,2.6,3.7,1.8,0.8,0.6,1.4,9.9
Jamaal Tinsley,IND,80,30.5,9.4,3.6,9.5,38,0.5,2.2,24,1.6,2.3,70.4,1,2.8,3.7,8.1,1.7,0.5,3.4,13.5
Brian Grant,MIA,72,31.3,9.3,4,8.5,46.9,0,0,0,1.4,1.7,84.9,2.3,5.7,8,1.9,0.7,0.4,1.7,13.9
Antonio Daniels,SAS,82,26.5,9.2,3.3,7.5,44,0.7,2.4,29.1,1.9,2.6,75.2,0.3,1.9,2.1,2.8,0.6,0.1,0.9,9.2
Tony Parker,SAS,77,29.4,9.2,3.5,8.3,41.9,0.8,2.5,32.3,1.4,2.1,67.5,0.4,2.1,2.6,4.3,1.2,0.1,2,9.8
Lucious Harris,NJN,74,21,9.1,3.4,7.3,46.4,0.6,1.6,37.3,1.8,2.1,84.2,0.7,2.1,2.8,1.6,0.7,0.1,0.8,9.2
Jon Barry,DET,82,24.2,9,3.1,6.4,48.9,1.5,3.1,46.9,1.3,1.4,93.1,0.5,2.3,2.9,3.3,1.1,0.2,1.4,11.9
Anthony Peeler,MIN,82,25.1,9,3.5,8.3,42.1,1.4,3.5,39.2,0.6,0.7,86.2,0.5,2.1,2.5,2.2,0.7,0.1,0.9,8.7
Eric Piatkowski,LAC,71,24.2,8.8,2.9,6.6,43.9,1.6,3.4,46.6,1.4,1.6,89.4,0.6,2,2.6,1.6,0.6,0.2,0.9,8.9
Eddie Griffin,HOU,73,26,8.8,3.3,9.1,36.6,1.2,3.7,33,0.9,1.2,74.4,1.6,4.1,5.7,0.7,0.2,1.8,0.6,10.6
Trenton Hassell,CHI,78,28.7,8.7,3.4,8.1,42.5,0.8,2.1,36.4,1.1,1.5,76.3,0.8,2.4,3.3,2.2,0.7,0.6,1.3,9.2
